orderID,qsv,noLanes,noRolls,waste,no_coprint,restriction,due_date
697124,B670-813-49,5,5,137,0,na,2022-03-25 00:00:00
697125,B670-813-49,5,5,154,0,na,2022-03-25 00:00:00
697612,B670-813-49,5,6,570,0,na,2022-03-22 00:00:00
0697006-C,B672-813-49,5,5,508,2,na,2022-03-29 00:00:00
0696823-C,B672-813-49,5,5,5,2,na,2022-03-29 00:00:00
0697925-C,C193-602-70,7,14,1223,4,na,2022-03-30 00:00:00
0697923-C,C193-602-70,7,7,9,3,na,2022-03-30 00:00:00
0697922-C,C193-602-70,7,12,296,2,na,2022-03-30 00:00:00
697921,C193-602-70,7,3,857,0,na,2022-03-30 00:00:00
697927,C193-602-70,7,6,198,0,na,2022-03-30 00:00:00
0696949-C,B672-813-49,5,5,4,2,na,2022-04-01 00:00:00

